lat,long,fecha,hora,temp,hum,pres,XAcel,YAcel,ZAcel,XGy,YGy,ZGy
25.799999,29.0,783.69,368.00,36.0,17620.0,-18.0,-1.0,10.0,,,,
25.799999,29.0,783.66,480.00,-48.0,17616.0,-20.0,-2.0,13.0,,,,
26.399999,31.0,783.66,468.00,-40.0,17536.0,-18.0,1.0,12.0,,,,
26.399999,31.0,783.67,400.00,100.0,17548.0,-19.0,1.0,12.0,,,,
26.399999,31.0,783.62,340.00,108.0,17680.0,-19.0,-1.0,11.0,,,,
26.399999,31.0,783.63,420.00,36.0,17692.0,-17.0,1.0,11.0,,,,
26.5,31.0,783.64,456.00,4.0,17516.0,-21.0,0.0,11.0,,,,
26.5,31.0,783.63,432.00,24.0,17556.0,-16.0,-2.0,11.0,,,,
25.1,30.0,783.65,404.00,-8.0,17544.0,-20.0,0.0,10.0,,,,
25.1,30.0,783.63,424.00,108.0,17616.0,-19.0,0.0,11.0,,,,
26.299999,31.0,783.64,424.00,132.0,17628.0,-17.0,-3.0,12.0,,,,
26.299999,31.0,783.66,440.00,60.0,17644.0,-22.0,3.0,11.0,,,,
26.1,31.0,783.67,396.00,100.0,17460.0,-19.0,1.0,11.0,,,,
26.1,31.0,783.68,304.00,-16.0,17668.0,-16.0,-3.0,10.0,,,,
25.1,29.0,783.66,524.00,24.0,17496.0,-16.0,0.0,13.0,,,,
25.1,29.0,783.71,452.00,-24.0,17544.0,-18.0,1.0,6.0,,,,
25.2,29.0,783.63,464.00,88.0,17588.0,-20.0,3.0,10.0,,,,
25.2,29.0,783.69,408.00,112.0,17620.0,-18.0,1.0,14.0,,,,
,,,,25.299999,29.0,783.71,392.0,8.0,17496.0,-15.0,5.0,13.0
25.299999,29.0,783.70,400.00,40.0,17680.0,-16.0,1.0,14.0,,,,
19.395132,-99.032562,,05:13:08,25.399999,29.0,783.65,368.0,0.0,17572.0,-15.0,4.0,14.0
25.399999,29.0,783.68,464.00,56.0,17652.0,-19.0,-1.0,12.0,,,,
25.399999,29.0,783.66,508.00,-16.0,17600.0,-18.0,0.0,13.0,,,,
25.399999,29.0,783.70,452.00,68.0,17620.0,-15.0,-2.0,12.0,,,,
26.1,30.0,783.67,400.00,60.0,17512.0,-18.0,-3.0,13.0,,,,
26.1,30.0,783.64,420.00,4.0,17552.0,-16.0,1.0,12.0,,,,
19.395132,-99.032562,,05:13:08,26.5,30.0,783.6,452.0,-40.0,17616.0,-16.0,-2.0,13.0
26.5,30.0,783.55,384.00,64.0,17628.0,-18.0,2.0,13.0,,,,
19.395132,-99.032562,,05:13:08,26.5,30.0,783.61,480.0,-36.0,17512.0,-22.0,-3.0,13.0
26.5,30.0,783.60,460.00,12.0,17544.0,-18.0,3.0,14.0,,,,
24.799999,29.0,783.66,464.00,76.0,17476.0,-20.0,2.0,10.0,,,,
24.799999,29.0,783.67,436.00,0.0,17544.0,-15.0,-2.0,13.0,,,,
25.0,29.0,783.65,428.00,20.0,17620.0,-16.0,-2.0,13.0,,,,
25.0,29.0,783.64,528.00,60.0,17584.0,-17.0,-4.0,12.0,,,,
26.899999,30.0,783.63,484.00,-52.0,17440.0,-21.0,0.0,13.0,,,,
26.899999,30.0,783.64,464.00,68.0,17700.0,-16.0,0.0,13.0,,,,
24.0,29.0,783.68,448.00,44.0,17580.0,-18.0,-2.0,11.0,,,,
24.0,29.0,783.64,532.00,-28.0,17592.0,-17.0,2.0,9.0,,,,
25.399999,29.0,783.69,376.00,92.0,17620.0,-19.0,3.0,13.0,,,,
